Time,Lon,Lat,,,,Position,Start Time,End Time,,Longitude,St.dev Lon,,Latitude,St.dev Lat
07:43.0,114.8979615,4.97838917,,,,,,,,,,,,
07:45.0,114.8979615,4.97838917,,,,,,,,,,,,
07:47.0,114.8979615,4.97838917,,,,,,,,,,,,
07:48.0,114.8979615,4.978389,,,,,,,,,,,,
07:50.0,114.8979613,4.978389,,,,,,,,,,,,
07:51.0,114.8979613,4.978389,,,,,,,,,,,,
07:52.0,114.8979613,4.978389,,,,,,,,,,,,
07:53.0,114.8979612,4.978389,,,,,,,,,,,,
07:54.0,114.8979612,4.978389,,,,,,,,,,,,
07:56.0,114.897961,4.978389,,,,,,,,,,,,
07:58.0,114.8979608,4.97838917,,,,,,,,,,,,
08:00.0,114.8979632,4.97838967,,,,,,,,,,,,
08:01.0,114.8979647,4.978389,,,,,,,,,,,,
08:02.0,114.8979672,4.978389,,,,,,,,,,,,
08:03.0,114.8979733,4.97839017,,,,,,,,,,,,
08:04.0,114.89798,4.978396,,,,,,,,,,,,
08:06.0,114.8979983,4.97840967,,,,,,,,,,,,
08:07.0,114.8980052,4.97841517,,,,,,,,,,,,
08:08.0,114.8980118,4.9784205,,,,,,,,,,,,
08:09.0,114.8980185,4.97842517,,,,,,,,,,,,
08:10.0,114.8980252,4.9784295,,,,,,,,,,,,
08:12.0,114.898041,4.97843933,,,,,,,,,,,,
08:13.0,114.8980498,4.97844417,,,,,,,,,,,,
08:15.0,114.8980682,4.9784525,,,,,,,,,,,,
08:17.0,114.8980808,4.9784605,,,,,,,,,,,,
08:19.0,114.898094,4.97846317,,,,,,,,,,,,
08:21.0,114.8980992,4.97846117,,,,,,,,,,,,
08:22.0,114.8980997,4.97846033,,,,,,,,,,,,
08:24.0,114.8980992,4.97846033,,,,,,,,,,,,
08:26.0,114.898099,4.97846017,,,,,,,,,,,,
08:27.0,114.898099,4.97846033,,,,,,,,,,,,
08:28.0,114.898099,4.97846033,,,,,,,,,,,,
08:30.0,114.8980988,4.9784605,,,,,,,,,,,,
08:32.0,114.8980987,4.97846067,,,,,,,,,,,,
08:33.0,114.8980987,4.97846083,,,,,,,,,,,,
08:34.0,114.8980987,4.978461,,,,,,,,,,,,
08:35.0,114.8980987,4.978461,,,,,,,,,,,,
08:37.0,114.8980987,4.97846117,,,,,,,,,,,,
08:39.0,114.8980987,4.97846133,,,,,,,,,,,,
08:41.0,114.8980985,4.97846117,,,,,,,,,,,,
08:46.0,114.8980985,4.97846083,,,,,,,,,,,,
08:49.0,114.8980983,4.97846067,,,,,,,,,,,,
08:51.0,114.8980985,4.97846033,,,,,,,,,,,,
08:53.0,114.8980987,4.97846017,,,,,,,,,,,,
08:55.0,114.8980987,4.97846,,,,,,,,,,,,
08:56.0,114.8980987,4.97846,,,,,,,,,,,,
08:58.0,114.8980983,4.97846,,,,,,,,,,,,
08:59.0,114.8980983,4.97846,,,,,,,,,,,,
09:03.0,114.8980983,4.97846,,,,,,,,,,,,
09:05.0,114.8980982,4.97845983,,,,,,,,,,,,
09:07.0,114.8980982,4.9784595,,,,,,,,,,,,
09:08.0,114.8980982,4.97845933,,,,,,,,,,,,
09:09.0,114.8980982,4.97845933,,,,,,,,,,,,
09:10.0,114.8980982,4.97845933,,,,,,,,,,,,
09:13.0,114.898098,4.97845917,,,,,,,,,,,,
09:14.0,114.8980978,4.97845917,,,,,,,,,,,,
09:15.0,114.8980978,4.97845917,,,,,,,,,,,,
09:16.0,114.8980978,4.978459,,,,,,,,,,,,
09:17.0,114.8980978,4.978459,,,,,,,,,,,,
09:19.0,114.8980977,4.97845883,,,,,,,,,,,,
09:20.0,114.8980977,4.97845883,,,,,,,,,,,,
09:22.0,114.8980975,4.97845883,,,,,,,,,,,,
09:25.0,114.8980973,4.97845883,,,,,,,,,,,,
09:26.0,114.8980972,4.97845883,,,,,,,,,,,,
09:28.0,114.8980972,4.97845883,,,,,,,,,,,,
09:33.0,114.8980967,4.978459,,,,,,,,,,,,
09:35.0,114.8980967,4.978459,,,,,,,,,,,,
09:37.0,114.8980965,4.97845917,,,,,,,,,,,,
09:39.0,114.8980965,4.97845917,,,,,,,,,,,,
09:40.0,114.8980965,4.97845917,,,,,,,,,,,,
09:43.0,114.8980963,4.978459,,,,,,,,,,,,
09:44.0,114.8980963,4.978459,,,,,,,,,,,,
09:45.0,114.8980963,4.978459,,,,,,,,,,,,
09:46.0,114.8980963,4.97845883,,,,,,,,,,,,
09:49.0,114.8980962,4.97845883,,,,,,,,,,,,
09:51.0,114.8980962,4.97845883,,,,,,,,,,,,
09:53.0,114.8980962,4.97845883,,,,,,,,,,,,
09:55.0,114.8980962,4.97845883,,,,,,,,,,,,
09:57.0,114.8980962,4.97845883,,,,,,,,,,,,
09:58.0,114.898096,4.97845883,,,,,,,,,,,,
10:01.0,114.8980962,4.97845883,,,,,,,,,,,,
10:03.0,114.898096,4.97845867,,,,,,,,,,,,
10:04.0,114.898096,4.97845867,,,,,,,,,,,,
10:09.0,114.898096,4.97845833,,,,,,,,,,,,
10:10.0,114.8980958,4.97845833,,,,,,,,,,,,
10:11.0,114.8980958,4.97845833,,,,,,,,,,,,
10:12.0,114.8980958,4.97845833,,,,,,,,,,,,
10:13.0,114.8980957,4.97845833,,,,,,,,,,,,
10:15.0,114.8980957,4.97845817,,,,,,,,,,,,
10:17.0,114.8980955,4.97845817,,,,,,,,,,,,
10:19.0,114.8980953,4.97845817,,,,,,,,,,,,
10:20.0,114.8980952,4.97845817,,,,,,,,,,,,
10:21.0,114.8980952,4.97845833,,,,,,,,,,,,
10:22.0,114.8980952,4.97845833,,,,,,,,,,,,
10:25.0,114.898095,4.97845833,,,,,,,,,,,,
10:27.0,114.8980948,4.9784585,,,,,,,,,,,,
10:29.0,114.8980948,4.9784585,,,,,,,,,,,,
10:31.0,114.8980948,4.97845867,,,,,,,,,,,,
10:33.0,114.8980947,4.97845867,,,,,,,,,,,,
10:34.0,114.8980945,4.97845867,,,,,,,,,,,,
10:37.0,114.8980943,4.978459,,,,,,,,,,,,
10:39.0,114.8980943,4.97845917,,,,,,,,,,,,
10:40.0,114.8980943,4.97845933,,,,,,,,,,,,
10:46.0,114.8981018,4.97845017,,,,,,,,,,,,
10:47.0,114.8981068,4.978444,,,,,,,,,,,,
10:48.0,114.8981125,4.97843733,,,,,,,,,,,,
10:49.0,114.8981178,4.97843117,,,,,,,,,,,,
10:51.0,114.8981243,4.97841683,,,,,,,,,,,,
10:52.0,114.8981268,4.97840917,,,,,,,,,,,,
10:53.0,114.8981308,4.978401,,,,,,,,,,,,
10:55.0,114.8981407,4.97838117,,,,,,,,,,,,
10:56.0,114.8981457,4.97837117,,,,,,,,,,,,
10:57.0,114.8981482,4.978362,,,,,,,,,,,,
10:58.0,114.89815,4.97835317,,,,,,,,,,,,
10:59.0,114.8981517,4.978344,,,,,,,,,,,,
11:00.0,114.898154,4.97833417,,,,,,,,,,,,
11:02.0,114.898161,4.9783145,,,,,,,,,,,,
11:03.0,114.8981638,4.97830467,,,,,,,,,,,,
11:05.0,114.8981678,4.97828517,,,,,,,,,,,,
11:06.0,114.8981702,4.97827567,,,,,,,,,,,,
11:08.0,114.8981765,4.9782565,,,,,,,,,,,,
11:09.0,114.8981797,4.9782465,,,,,,,,,,,,
11:11.0,114.8981898,4.97823,,,,,,,,,,,,
11:12.0,114.898197,4.97822317,,,,,,,,,,,,
11:13.0,114.8982032,4.97821767,,,,,,,,,,,,
11:14.0,114.8982078,4.9782155,,,,,,,,,,,,
11:15.0,114.8982088,4.978215,,,,,,,,,,,,
11:17.0,114.8982103,4.97821483,,,,,,,,,,,,
11:18.0,114.8982173,4.97821433,,,,,,,,,,,,
11:20.0,114.8982402,4.97820783,,,,,,,,,,,,
11:21.0,114.8982507,4.97820417,,,,,,,,,,,,
11:23.0,114.8982725,4.97819617,,,,,,,,,,,,
11:24.0,114.8982835,4.978192,,,,,,,,,,,,
11:25.0,114.8982942,4.97818783,,,,,,,,,,,,
11:26.0,114.8983038,4.97818417,,,,,,,,,,,,
11:27.0,114.8983128,4.97817933,,,,,,,,,,,,
11:29.0,114.8983215,4.97816317,,,,,,,,,,,,
11:30.0,114.8983208,4.97815283,,,,,,,,,,,,
11:31.0,114.8983185,4.97814217,,,,,,,,,,,,
11:32.0,114.8983168,4.978132,,,,,,,,,,,,
11:33.0,114.898314,4.97812233,,,,,,,,,,,,
11:35.0,114.898309,4.978103,,,,,,,,,,,,
11:36.0,114.8983063,4.97809383,,,,,,,,,,,,
11:38.0,114.8983,4.97807683,,,,,,,,,,,,
