Time,Lon,Lat,,,,,UTC
11:34.0,114.898304,4.9780955,,,,,23:19.0
11:35.0,114.8983007,4.97808617,,,,,23:20.0
11:36.0,114.8982978,4.97807783,,,,,23:21.0
11:38.0,114.8982943,4.97805983,,,,,23:23.0
11:39.0,114.8982943,4.97804833,,,,,23:24.0
11:40.0,114.8982948,4.97803933,,,,,23:25.0
11:41.0,114.8982938,4.9780295,,,,,23:26.0
11:43.0,114.898292,4.97801933,,,,,23:28.0
11:45.0,114.8982915,4.978019,,,,,23:30.0
11:47.0,114.8982913,4.97801783,,,,,23:32.0
11:49.0,114.8982908,4.97801617,,,,,23:34.0
11:51.0,114.8982903,4.978015,,,,,23:36.0
11:53.0,114.8982897,4.97801367,,,,,23:38.0
11:54.0,114.8982893,4.97801317,,,,,23:39.0
11:55.0,114.898289,4.97801283,,,,,23:40.0
11:56.0,114.8982887,4.97801233,,,,,23:41.0
11:57.0,114.8982885,4.978012,,,,,23:42.0
11:59.0,114.8982882,4.97801133,,,,,23:44.0
12:00.0,114.898288,4.978011,,,,,23:45.0
12:01.0,114.8982878,4.97801067,,,,,23:46.0
12:02.0,114.8982878,4.97801033,,,,,23:47.0
12:04.0,114.8982877,4.97800983,,,,,23:49.0
12:05.0,114.8982875,4.97800967,,,,,23:50.0
12:06.0,114.8982875,4.97800933,,,,,23:51.0
12:07.0,114.8982875,4.97800917,,,,,23:52.0
12:08.0,114.8982873,4.978009,,,,,23:53.0
12:09.0,114.8982873,4.97800883,,,,,23:54.0
12:10.0,114.8982873,4.97800867,,,,,23:55.0
12:11.0,114.8982873,4.9780085,,,,,23:56.0
12:13.0,114.8982872,4.978008,,,,,23:58.0
12:14.0,114.8982872,4.97800783,,,,,23:59.0
12:15.0,114.8982872,4.97800783,,,,,24:00.0
12:16.0,114.8982872,4.97800767,,,,,24:01.0
12:18.0,114.8982873,4.9780075,,,,,24:03.0
12:19.0,114.8982873,4.9780075,,,,,24:04.0
12:21.0,114.8982872,4.97800717,,,,,24:06.0
12:22.0,114.8982872,4.97800717,,,,,24:07.0
12:24.0,114.898287,4.97800683,,,,,24:09.0
12:25.0,114.898287,4.97800683,,,,,24:10.0
12:26.0,114.898287,4.97800667,,,,,24:11.0
12:27.0,114.898287,4.97800667,,,,,24:12.0
12:28.0,114.898287,4.9780065,,,,,24:13.0
12:30.0,114.898287,4.97800633,,,,,24:15.0
12:31.0,114.898287,4.97800633,,,,,24:16.0
12:32.0,114.8982868,4.97800617,,,,,24:17.0
12:33.0,114.8982868,4.978006,,,,,24:18.0
12:34.0,114.8982868,4.978006,,,,,24:19.0
12:36.0,114.8982867,4.97800583,,,,,24:21.0
12:37.0,114.8982867,4.97800567,,,,,24:22.0
12:41.0,114.8982865,4.97800533,,,,,24:26.0
12:43.0,114.8982863,4.97800517,,,,,24:28.0
12:44.0,114.8982863,4.978005,,,,,24:29.0
12:45.0,114.8982863,4.978005,,,,,24:30.0
12:46.0,114.8982865,4.97800483,,,,,24:31.0
