Index,UTC,Lon,Lat
315,06:06:32.000 06/07/2023,114.89794683,4.97837833
316,06:06:34.000 06/07/2023,114.89794717,4.97837867
317,06:06:35.000 06/07/2023,114.89794733,4.97837883
318,06:06:36.000 06/07/2023,114.89794750,4.97837883
319,06:06:37.000 06/07/2023,114.89794767,4.97837900
320,06:06:39.000 06/07/2023,114.89794800,4.97837917
321,06:06:40.000 06/07/2023,114.89794833,4.97837933
322,06:06:41.000 06/07/2023,114.89794850,4.97837933
323,06:06:43.000 06/07/2023,114.89794883,4.97837950
324,06:06:44.000 06/07/2023,114.89794900,4.97837950
325,06:06:46.000 06/07/2023,114.89794933,4.97837983
326,06:06:47.000 06/07/2023,114.89794950,4.97837983
327,06:06:49.000 06/07/2023,114.89794983,4.97838000
328,06:06:50.000 06/07/2023,114.89795000,4.97838017
329,06:06:52.000 06/07/2023,114.89795033,4.97838017
330,06:06:53.000 06/07/2023,114.89795033,4.97838017
331,06:06:54.000 06/07/2023,114.89795050,4.97838033
332,06:06:55.000 06/07/2023,114.89795067,4.97838033
333,06:06:56.000 06/07/2023,114.89795067,4.97838033
334,06:06:57.000 06/07/2023,114.89795067,4.97838050
335,06:06:59.000 06/07/2023,114.89795100,4.97838050
336,06:07:01.000 06/07/2023,114.89795133,4.97838067
337,06:07:02.000 06/07/2023,114.89795167,4.97838067
338,06:07:03.000 06/07/2023,114.89795183,4.97838067
339,06:07:05.000 06/07/2023,114.89795217,4.97838083
340,06:07:07.000 06/07/2023,114.89795217,4.97838083
341,06:07:08.000 06/07/2023,114.89795217,4.97838083
342,06:07:09.000 06/07/2023,114.89795217,4.97838083
343,06:07:10.000 06/07/2023,114.89795233,4.97838083
344,06:07:11.000 06/07/2023,114.89795233,4.97838083
345,06:07:13.000 06/07/2023,114.89795233,4.97838083
346,06:07:14.000 06/07/2023,114.89795250,4.97838083
347,06:07:15.000 06/07/2023,114.89795267,4.97838083
348,06:07:16.000 06/07/2023,114.89795283,4.97838083
349,06:07:17.000 06/07/2023,114.89795283,4.97838083
350,06:07:20.000 06/07/2023,114.89795317,4.97838100
351,06:07:22.000 06/07/2023,114.89795317,4.97838117
352,06:07:23.000 06/07/2023,114.89795317,4.97838117
353,06:07:25.000 06/07/2023,114.89795317,4.97838117
354,06:07:26.000 06/07/2023,114.89795317,4.97838117
355,06:07:27.000 06/07/2023,114.89795317,4.97838100
356,06:07:28.000 06/07/2023,114.89795317,4.97838100
357,06:07:29.000 06/07/2023,114.89795333,4.97838100
358,06:07:30.000 06/07/2023,114.89795333,4.97838100
359,06:07:32.000 06/07/2023,114.89795350,4.97838083
360,06:07:33.000 06/07/2023,114.89795367,4.97838083
361,06:07:34.000 06/07/2023,114.89795367,4.97838083
362,06:07:35.000 06/07/2023,114.89795367,4.97838083
363,06:07:37.000 06/07/2023,114.89795400,4.97838100
364,06:07:38.000 06/07/2023,114.89795417,4.97838100
365,06:07:39.000 06/07/2023,114.89795417,4.97838100
366,06:07:40.000 06/07/2023,114.89795417,4.97838100
367,06:07:41.000 06/07/2023,114.89795433,4.97838100
368,06:07:42.000 06/07/2023,114.89795450,4.97838100
369,06:07:43.000 06/07/2023,114.89795467,4.97838117
370,06:07:44.000 06/07/2023,114.89795467,4.97838117
371,06:07:45.000 06/07/2023,114.89795483,4.97838117
372,06:07:46.000 06/07/2023,114.89795483,4.97838117
373,06:07:47.000 06/07/2023,114.89795500,4.97838117
374,06:07:48.000 06/07/2023,114.89795500,4.97838117
375,06:07:49.000 06/07/2023,114.89795517,4.97838117
376,06:07:50.000 06/07/2023,114.89795517,4.97838117
377,06:07:51.000 06/07/2023,114.89795483,4.97838117
378,06:07:53.000 06/07/2023,114.89796067,4.97838350
379,06:07:54.000 06/07/2023,114.89796533,4.97838500
380,06:07:55.000 06/07/2023,114.89797333,4.97838767
381,06:07:56.000 06/07/2023,114.89798200,4.97839167
382,06:07:58.000 06/07/2023,114.89799883,4.97839850
383,06:07:59.000 06/07/2023,114.89800750,4.97840300
384,06:08:00.000 06/07/2023,114.89801583,4.97840750
385,06:08:01.000 06/07/2023,114.89802450,4.97841117
386,06:08:02.000 06/07/2023,114.89803300,4.97841667
387,06:08:03.000 06/07/2023,114.89804150,4.97842100
388,06:08:04.000 06/07/2023,114.89805000,4.97842450
389,06:08:06.000 06/07/2023,114.89806400,4.97843267
390,06:08:08.000 06/07/2023,114.89807950,4.97844000
391,06:08:10.000 06/07/2023,114.89808533,4.97844467
392,06:08:11.000 06/07/2023,114.89808517,4.97844567
393,06:08:13.000 06/07/2023,114.89808533,4.97844550
394,06:08:14.000 06/07/2023,114.89808567,4.97844567
395,06:08:15.000 06/07/2023,114.89808600,4.97844583
396,06:08:17.000 06/07/2023,114.89808683,4.97844650
397,06:08:19.000 06/07/2023,114.89808717,4.97844733
398,06:08:20.000 06/07/2023,114.89808733,4.97844767
399,06:08:21.000 06/07/2023,114.89808750,4.97844800
400,06:08:22.000 06/07/2023,114.89808783,4.97844850
401,06:08:23.000 06/07/2023,114.89808800,4.97844867
402,06:08:24.000 06/07/2023,114.89808817,4.97844900
403,06:08:25.000 06/07/2023,114.89808833,4.97844933
404,06:08:26.000 06/07/2023,114.89808850,4.97844950
405,06:08:27.000 06/07/2023,114.89808867,4.97844983
406,06:08:28.000 06/07/2023,114.89808883,4.97845000
407,06:08:30.000 06/07/2023,114.89808917,4.97845050
408,06:08:31.000 06/07/2023,114.89808917,4.97845067
409,06:08:32.000 06/07/2023,114.89808933,4.97845083
410,06:08:33.000 06/07/2023,114.89808950,4.97845100
411,06:08:34.000 06/07/2023,114.89808967,4.97845117
412,06:08:35.000 06/07/2023,114.89808983,4.97845133
413,06:08:36.000 06/07/2023,114.89809000,4.97845150
414,06:08:38.000 06/07/2023,114.89809017,4.97845167
415,06:08:40.000 06/07/2023,114.89809033,4.97845167
416,06:08:41.000 06/07/2023,114.89809050,4.97845183
417,06:08:43.000 06/07/2023,114.89809083,4.97845200
418,06:08:44.000 06/07/2023,114.89809100,4.97845200
419,06:08:45.000 06/07/2023,114.89809117,4.97845217
420,06:08:47.000 06/07/2023,114.89809150,4.97845217
421,06:08:49.000 06/07/2023,114.89809167,4.97845217
422,06:08:51.000 06/07/2023,114.89809200,4.97845217
423,06:08:52.000 06/07/2023,114.89809200,4.97845217
424,06:08:53.000 06/07/2023,114.89809217,4.97845233
425,06:08:54.000 06/07/2023,114.89809233,4.97845233
426,06:08:55.000 06/07/2023,114.89809250,4.97845233
427,06:08:56.000 06/07/2023,114.89809250,4.97845250
428,06:08:58.000 06/07/2023,114.89809267,4.97845250
429,06:09:00.000 06/07/2023,114.89809283,4.97845250
430,06:09:02.000 06/07/2023,114.89809283,4.97845250
431,06:09:04.000 06/07/2023,114.89809300,4.97845250
432,06:09:05.000 06/07/2023,114.89809300,4.97845250
433,06:09:07.000 06/07/2023,114.89809317,4.97845250
434,06:09:08.000 06/07/2023,114.89809333,4.97845250
435,06:09:09.000 06/07/2023,114.89809333,4.97845267
436,06:09:10.000 06/07/2023,114.89809350,4.97845267
437,06:09:11.000 06/07/2023,114.89809350,4.97845267
